Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 18 Mar 2019 18:07:09 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"23108","NM84SW 4","Lismore, Creag An Fhithich","Cairn (Period Unassigned)","183250","740090","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8325 4009","http://canmore.org.uk/site/23108",
"23109","NM84SW 5","Lismore, Balliveolan","Enclosure (Period Unassigned)","183820","741260","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8382 4126","http://canmore.org.uk/site/23109",
"23110","NM84SW 6","Lismore","Findspot, Pin(S) (Bronze)","181000","740000","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 81 40","http://canmore.org.uk/site/23110",
"23112","NM84SW 80","Lismore, Balliveolan","Building(S) (Period Unassigned), Farmstead(S) (Period Unassigned), Lime Kiln(S) (Period Unassigned), Rig And Furrow (Medieval), Smithy (Period Unassigned), Township (Period Unassigned)","184200","741700","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 842 417","http://canmore.org.uk/site/23112",
"23296","NM94NW 16","Port Appin","Landing Point (Period Unassigned)","190000","745000","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 90 45","http://canmore.org.uk/site/23296",
"23301","NM94NW 5","Portnacroish","Chambered Cairn (Neolithic)","192500","747300","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 925 473","http://canmore.org.uk/site/23301",
"23342","NN04NE 1","Bealach Na H-innsig","Hut Circle(S) (Prehistoric)(Possible), Platform(S) (Period Unassigned), Shieling Hut(S) (Post Medieval)","207300","748500","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 073 485","http://canmore.org.uk/site/23342",
"23536","NN04NW 2","Balliveolan","Burial Ground (Period Unassigned)","200740","745300","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 0074 4530","http://canmore.org.uk/site/23536",
"23538","NN04NW 4","Glenure","Bridge (Period Unassigned)","204520","748000","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 0452 4800","http://canmore.org.uk/site/23538",
"23540","NN04SW 1","Druimavuic Cottage","Clearance Cairn (Period Unassigned)","200650","744700","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 0065 4470","http://canmore.org.uk/site/23540",
"23549","NN05NE 6","Cnocan Dubha","Fort (Period Unassigned)","207990","758510","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 0799 5851","http://canmore.org.uk/site/23549",
"23557","NN05NW 4","Ballachulish House","Cist (Period Unassigned), Kerb Cairn (Prehistoric)","204880","759510","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 0488 5951","http://canmore.org.uk/site/23557",
"23560","NN05SE 2","Glen Creran","Platform(S) (Period Unassigned)","208100","751200","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 081 512","http://canmore.org.uk/site/23560",
"23686","NN13NE 1","Airidh Nan Sileag","Shieling Hut(S) (Post Medieval)","219100","735300","ARGYLL AND BUTE","ARGYLL","GLENORCHY AND INISHAIL (ARGYLL AND BUTE)","NN 191 353","http://canmore.org.uk/site/23686",
"23687","NN13NE 2","Allt Riabhach","Shieling Hut(S) (Post Medieval)","219900","736200","ARGYLL AND BUTE","ARGYLL","GLENORCHY AND INISHAIL (ARGYLL AND BUTE)","NN 199 362","http://canmore.org.uk/site/23687",
"23688","NN13SE 1","Leirg Nan Giubhas","Shieling Hut(S) (Post Medieval)","219300","732880","ARGYLL AND BUTE","ARGYLL","GLENORCHY AND INISHAIL (ARGYLL AND BUTE)","NN 1930 3288","http://canmore.org.uk/site/23688",
"23694","NN15SE 1","Glencoe, Lairig Eilde","Cairn(S) (Period Unassigned)","217013","753517","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 17013 53517","http://canmore.org.uk/site/23694",
"23770","NN23NW 1","Airidh Challtuinn","Shieling Hut(S) (Post Medieval)","219900","735800","ARGYLL AND BUTE","ARGYLL","GLENORCHY AND INISHAIL (ARGYLL AND BUTE)","NN 199 358","http://canmore.org.uk/site/23770",
"32326","NO35SE 40","Roundyhill, Lismore","Term Pending","337770","750010","ANGUS","ANGUS","KIRRIEMUIR","NO 3777 5001","http://canmore.org.uk/site/32326",
"73087","NM95SE 60","Keil","Building(S) (Period Unassigned), Cairn(S) (Period Unassigned), Quarry (Period Unassigned), Rig And Furrow (Medieval)","197100","753320","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NM 9710 5332","http://canmore.org.uk/site/73087",
"73932","NM43NW 25","A' Chrannag, Ulva","Findspot, Polished Axehead (Basalt)","143050","738050","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4305 3805","http://canmore.org.uk/site/73932",
"76655","NM73NE 7","Lismore, Druim Nan Damh, Sloc A' Bhrighide","Farmstead (Period Unassigned)","179950","736640","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 7995 3664","http://canmore.org.uk/site/76655",
"76660","NM83NW 25","Lismore, Fiart","Township (Period Unassigned)","181140","737480","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8114 3748","http://canmore.org.uk/site/76660",
"76662","NM83NW 26","Lismore, Achadun","Cultivation Remains (Period Unassigned), Farmstead (Period Unassigned)","180500","738790","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8050 3879","http://canmore.org.uk/site/76662",
"76702","NM84SE 24","Lismore, Clachan","Building(S) (Period Unassigned), Cultivation Remains (Period Unassigned)","186000","743500","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 860 435","http://canmore.org.uk/site/76702",
"76790","NM43NW 29","Am Breideanach, Ulva","Kiln (Period Unassigned)","141650","737850","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4165 3785","http://canmore.org.uk/site/76790",
"76937","NM43NW 28","Ormaig, Ulva","Kiln Barn (Period Unassigned)","141960","738450","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4196 3845","http://canmore.org.uk/site/76937",
"78544","NM43NW 23","Ulva Manse","Manse (Period Unassigned)","143661","739736","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 43661 39736","http://canmore.org.uk/site/78544",
"79914","NM33NE 2","Rubh' A' Charnain, Ulva","Cairnfield (Period Unassigned)","139540","738660","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 3954 3866","http://canmore.org.uk/site/79914",
"79915","NM33NE 3","Ulva","Shieling Hut(S) (Post Medieval)","137700","739900","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 377 399","http://canmore.org.uk/site/79915",
"80189","NM95SE 61","Keil","Hut Circle (Prehistoric)(Possible)","198200","753120","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NM 9820 5312","http://canmore.org.uk/site/80189",
"81103","NN29NE 5","Fort William - Fort Augustus - Inverness Military Road","Military Road (18th Century)","228700","796000","HIGHLAND","INVERNESS-SHIRE","KILMONIVAIG","NN 2870 9600","http://canmore.org.uk/site/81103",
"87725","NN15NW 5","Glencoe, An Torr","Building (Period Unassigned)","212300","756500","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 123 565","http://canmore.org.uk/site/87725",
"87726","NN15NW 6","Glencoe, An-t-sron","Shieling Hut (Post Medieval), Spring (Period Unassigned)","212630","756230","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1263 5623","http://canmore.org.uk/site/87726",
"87727","NN05NW 8","Sgorr Dhonuill","Wall (Period Unassigned)","203000","755570","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 0300 5557","http://canmore.org.uk/site/87727",
"94954","NM84SE 27","Lismore, Balnagown Mill","Watermill (19th Century)","185645","741853","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 85645 41853","http://canmore.org.uk/site/94954",
"102428","NM73NE 8004","Unknown: Liath Sgeir, Lynn Of Morvern","Craft","177548","737266","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 77548 37266","http://canmore.org.uk/site/102428",
"102570","NM83SW 8007","Hmt Appletree: Firth Of Lorn","Requisitioned Steam Drifter (20th Century)","180900","734500","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 809 345","http://canmore.org.uk/site/102570",
"102584","NM84SE 8001","Unknown: Achnacroish Pier, Lismore, Lynn Of Lorn","Landing Craft (20th Century)","185251","741082","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 85251 41082","http://canmore.org.uk/site/102584",
"105443","NN05NE 160","South Ballachulish, Ballachulish Hotel","Hotel (Period Unassigned)","205061","759632","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 05061 59632","http://canmore.org.uk/site/105443",
"108566","NM48NE 191","Eigg, Kildonnan","Cross (Medieval)","148877","785329","HIGHLAND","INVERNESS-SHIRE","SMALL ISLES","NM 48877 85329","http://canmore.org.uk/site/108566",
"109674","NN05NE 28","South Ballachulish, James Of The Glens Memorial","Commemorative Monument (Period Unassigned)","205172","759617","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 05172 59617","http://canmore.org.uk/site/109674",
"111561","NN15SE 4","Glencoe, Allt Gartain","Structure (Period Unassigned)","217240","751590","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 1724 5159","http://canmore.org.uk/site/111561",
"111562","NN15SE 5","Glencoe, Lairig Eilde","Structure (Period Unassigned)","216960","753480","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 1696 5348","http://canmore.org.uk/site/111562",
"111563","NN15SE 6","Glencoe, Glen Etive","Enclosure (Period Unassigned), Rig And Furrow (Medieval)","218317","751107","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 18317 51107","http://canmore.org.uk/site/111563",
"111565","NN15SE 8","Glencoe, Dalness Chasm","Platform (Period Unassigned), Shieling Hut(S) (Post Medieval), Structure (Period Unassigned)","219330","751360","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 1933 5136","http://canmore.org.uk/site/111565",
"111566","NN15SE 9","Glencoe, Eas Na Doire Moire","Structure(S) (Period Unassigned)","219730","751360","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 1973 5136","http://canmore.org.uk/site/111566",
"111598","NN25SW 2","Glencoe, Eas A' Bhodaich","Structure(S) (Period Unassigned)","220260","751400","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 2026 5140","http://canmore.org.uk/site/111598",
"111599","NN25SW 3","Glencoe, Eas Blar Eite","Enclosure (Period Unassigned)","221090","751780","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 2109 5178","http://canmore.org.uk/site/111599",
"111601","NN25SW 5","Glencoe, River Etive","Building (Period Unassigned)","223700","753480","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 2370 5348","http://canmore.org.uk/site/111601",
"111602","NN25SW 6","Glencoe, River Coupall","Structure (Period Unassigned)","220220","754590","HIGHLAND","ARGYLL","ARDCHATTAN AND MUCKAIRN (LOCHABER)","NN 2022 5459","http://canmore.org.uk/site/111602",
"111604","NN15NE 5","Glencoe, Allt Coire Meannarclach","Enclosure (Period Unassigned), Structure (Period Unassigned)","218800","756250","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1880 5625","http://canmore.org.uk/site/111604",
"111605","NN15NE 60","Glencoe, Allt-na-ruigh","Pillbox (20th Century)","217380","756669","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 17380 56669","http://canmore.org.uk/site/111605",
"111606","NN15NE 7","Pass Of Glencoe","Dyke (Period Unassigned)","216930","756850","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1693 5685","http://canmore.org.uk/site/111606",
"111607","NN15NE 8","Pass Of Glencoe","Structure (Period Unassigned)","216810","756810","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 16810 56810","http://canmore.org.uk/site/111607",
"111608","NN15NE 9","Glencoe, Am Bodach","Structure (Period Unassigned)","216470","757570","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1647 5757","http://canmore.org.uk/site/111608",
"111609","NN15NE 10","Glencoe, Achtriochtan","Dyke(S) (Period Unassigned), Farmstead (Period Unassigned), Structure(S) (Period Unassigned)","215900","756900","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1590 5690","http://canmore.org.uk/site/111609",
"111610","NN15NE 11","Glencoe, Achtriochtan","Enclosure (Period Unassigned)","215741","756817","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 15741 56817","http://canmore.org.uk/site/111610",
"111616","NN15NE 12","Glencoe, Achtriochtan","Enclosure (Period Unassigned)","215580","757190","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1558 5719","http://canmore.org.uk/site/111616",
"111617","NN15NE 13","Glencoe, Glen Coe","Enclosure(S) (Period Unassigned), Farmstead (Period Unassigned)","215207","757192","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 15207 57192","http://canmore.org.uk/site/111617",
"111626","NN15NW 21","Glencoe, Achnambeithach","Dyke(S) (Period Unassigned), Farmhouse (Period Unassigned), Farmstead (Period Unassigned), Township (Period Unassigned)(Possible)","213984","756483","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 13984 56483","http://canmore.org.uk/site/111626",
"111630","NN15NW 23","Glencoe, Stroan","Rig And Furrow (Medieval)","213700","756500","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 137 565","http://canmore.org.uk/site/111630",
"111632","NN15NW 25","Glencoe, Stroan","Building (Period Unassigned), Structure(S) (Period Unassigned)","212860","756230","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1286 5623","http://canmore.org.uk/site/111632",
"111633","NN15NW 26","Glencoe, Clachaig","Dyke (Period Unassigned), Enclosure (Period Unassigned)","213089","756705","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 13089 56705","http://canmore.org.uk/site/111633",
"111635","NN15NW 28","Glencoe, Clachaig","Structure (Period Unassigned)","213250","756820","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1325 5682","http://canmore.org.uk/site/111635",
"111637","NN15NW 30","Glencoe, Achnacon","Structure (Period Unassigned)","211580","756550","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1158 5655","http://canmore.org.uk/site/111637",
"111638","NN15NW 31","Glencoe, Achnacon","Structure (Period Unassigned)","211270","757290","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1127 5729","http://canmore.org.uk/site/111638",
"111641","NN15NW 33","Glencoe, Coire Nan Cuile","Millstone","210100","756500","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 101 565","http://canmore.org.uk/site/111641",
"111642","NN15NW 34","Glencoe, Coire Nan Cuile","Still (Period Unassigned)(Possible)","210100","756450","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1010 5645","http://canmore.org.uk/site/111642",
"111643","NN05SE 4","Glencoe, Meall A' Bhuige","Shieling Hut(S) (Post Medieval)","209900","754500","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 099 545","http://canmore.org.uk/site/111643",
"111644","NN05SE 5","Glencoe, Meall Lighiche","Shieling Hut (Post Medieval)(Possible)","209610","754310","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 0961 5431","http://canmore.org.uk/site/111644",
"111645","NN15SW 1","Glencoe, Allt Na Muidhe","Shieling Hut(S) (Post Medieval)","210040","754350","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 10040 54350","http://canmore.org.uk/site/111645",
"111646","NN15SW 2","Allt Na Muidhe","Platform(S) (Period Unassigned), Rig And Furrow (Medieval), Shieling Hut(S) (Post Medieval)(Possible)","210500","754600","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 105 546","http://canmore.org.uk/site/111646",
"111647","NN15NW 35","Meall Mor","Platform(S) (Period Unassigned), Shieling Hut(S) (Post Medieval)(Possible)","210766","755157","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 10766 55157","http://canmore.org.uk/site/111647",
"111648","NN15NW 36","Meall Mor","Structure (Period Unassigned)","211200","755200","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 112 552","http://canmore.org.uk/site/111648",
"111649","NN15NW 37","Glencoe, Gleann Leac Na Muidhe","Dyke (Period Unassigned), Track (Period Unassigned)","211402","755441","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 11402 55441","http://canmore.org.uk/site/111649",
"111650","NN15NW 38","Glencoe, Gleann Leac Na Muidhe","Enclosure (Period Unassigned), Rig And Furrow (Medieval)","211817","756077","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 11817 56077","http://canmore.org.uk/site/111650",
"117166","NN06NW 3","Allt Coire Nan Cadrach","Dyke (Period Unassigned), Farmstead (Period Unassigned), Township (Period Unassigned)","204880","766040","HIGHLAND","INVERNESS-SHIRE","KILMALLIE","NN 0488 6604","http://canmore.org.uk/site/117166",
"118065","NM84NE 8001","Anne Catherine: Port Ramsay Bay, Lismore, Loch Linnhe","Smack (19th Century)","188000","745000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 88 45","http://canmore.org.uk/site/118065",
"118075","NM73NE 8010","Flowerdale: Loch Linnhe","Steamship (20th Century)","179000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 79 39","http://canmore.org.uk/site/118075",
"118078","NM73NE 8005","George A West: Liath Sgeir, Lynn Of Morvern","Steam Trawler (20th Century)","178000","737100","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 780 371","http://canmore.org.uk/site/118078",
"118079","NM83SW 8016","Glencoe: Firth Of Lorn","Steam Yacht (19th Century)","182000","734000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 82 34","http://canmore.org.uk/site/118079",
"118088","NM73NE 8006","Mayfly: Liath Sgeir, Lynn Of Morvern","Steam Yacht (19th Century)","178000","737100","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 780 371","http://canmore.org.uk/site/118088",
"119223","NM83SW 8011","Solway Firth: Firth Of Lorn","Motor Fishing Vessel (20th Century)","180200","733000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 802 330","http://canmore.org.uk/site/119223",
"119228","NM73NE 8002","St Joseph: Liath Sgeir, Lynn Of Morvern","Steamship (20th Century)","178000","737100","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 780 371","http://canmore.org.uk/site/119228",
"120289","NN16SE 20","Stirling - Tyndrum - Fort William Military Road","Military Road (18th Century)","217000","763080","HIGHLAND","INVERNESS-SHIRE","KILMALLIE","NN 1700 6308","http://canmore.org.uk/site/120289",
"120300","NN16SE 38","Creag An T-sionnaich","Spigot Mortar Mounting (20th Century)(Possible)","217500","761730","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1750 6173","http://canmore.org.uk/site/120300",
"120445","NN26SW 13","Kinlochleven","Prisoner Of War Camp (First World War)","220650","760700","HIGHLAND","INVERNESS-SHIRE","KILMALLIE","NN 2065 6070","http://canmore.org.uk/site/120445",
"127194","NN12NW 340","Dalmally To Bonawe Military Road","Military Road (18th Century)","212000","727170","ARGYLL AND BUTE","ARGYLL","GLENORCHY AND INISHAIL (ARGYLL AND BUTE)","NN 1200 2717","http://canmore.org.uk/site/127194",
"131258","NM33NE 40","Ulva","Corn Drying Kiln (Period Unassigned), Township (Period Unassigned)","139600","739100","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 396 391","http://canmore.org.uk/site/131258",
"141004","NN13SE 2","Inbhir-nan-giubhas","Township (Period Unassigned)","218000","732800","ARGYLL AND BUTE","ARGYLL","GLENORCHY AND INISHAIL (ARGYLL AND BUTE)","NN 180 328","http://canmore.org.uk/site/141004",
"141005","NN04NW 15","St Mary's Church","Settlement (Period Unassigned)","200970","746220","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NN 0097 4622","http://canmore.org.uk/site/141005",
"141010","NN04NW 16","Ath A'chip","Settlement (Period Unassigned)","201100","746100","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NN 011 461","http://canmore.org.uk/site/141010",
"141011","NN04NW 17","Glasdrum","Settlement (Period Unassigned)","201360","746220","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NN 0136 4622","http://canmore.org.uk/site/141011",
"141012","NN04NW 18","Taraphocain","Lead Mine (Period Unassigned)","202000","746000","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 020 460","http://canmore.org.uk/site/141012",
"141013","NN04NE 2","Allt Bealach Na H-innsig","Shieling Hut(S) (Post Medieval)","207200","748400","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 072 484","http://canmore.org.uk/site/141013",
"141014","NN04NE 3","Airigh Nan Lochan","Shieling Hut(S) (Post Medieval)","208000","747000","ARGYLL AND BUTE","ARGYLL","ARDCHATTAN AND MUCKAIRN (ARGYLL AND BUTE)","NN 080 470","http://canmore.org.uk/site/141014",
"141016","NN05SE 7","Eas Na Sgoinne","Cultivation Remains (Period Unassigned), Township (Period Unassigned)","205200","750600","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NN 052 506","http://canmore.org.uk/site/141016",
"148508","NS56NE 1036","Glasgow, 1051 Great Western Road, Kelvinside Station","Railway Station (19th Century)","255640","668079","GLASGOW, CITY OF","LANARKSHIRE","GOVAN (CITY OF GLASGOW)","NS 55640 68079","http://canmore.org.uk/site/148508",
"149285","NM83NE 10","Lismore, Sailean Sligenach Cottage","Farmstead (Period Unassigned)","188210","739960","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8821 3996","http://canmore.org.uk/site/149285",
"151241","NM84SE 45","Lismore, Hawthorn House","House (Period Unassigned)","186425","743755","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86425 43755","http://canmore.org.uk/site/151241",
"151975","NM84SW 15","Lismore, Creag An Fhithich","Farmstead (Period Unassigned)","183120","740690","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8312 4069","http://canmore.org.uk/site/151975",
"151976","NM84SW 16","Lismore, Baligrundle","Farmstead (Period Unassigned), Sheep Dip (Period Unassigned)","183530","740840","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8353 4084","http://canmore.org.uk/site/151976",
"151980","NM84SW 17","Lismore, Allt Aogainn","Mill (Period Unassigned)(Possible)","183650","741060","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8365 4106","http://canmore.org.uk/site/151980",
"151981","NM84SW 18","Lismore, Achnacroish","Farmstead (Period Unassigned)","184980","741180","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8498 4118","http://canmore.org.uk/site/151981",
"151982","NM84SW 190","Lismore, Killean","Building (Period Unassigned), Enclosure (Period Unassigned), Farmstead(S) (Period Unassigned), Township (Period Unassigned)","184700","741700","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 847 417","http://canmore.org.uk/site/151982",
"151988","NM84SE 29","Lismore, Balnagown","Farmstead (Period Unassigned)","185410","741980","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8541 4198","http://canmore.org.uk/site/151988",
"151989","NM84SE 30","Lismore, Loch Balie A' Ghobhainn","Farmstead (Period Unassigned)","185900","742290","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8590 4229","http://canmore.org.uk/site/151989",
"151990","NM84SE 31","Lismore, Cnoc A' Chrochaidh","Building (Period Unassigned)","185780","742970","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8578 4297","http://canmore.org.uk/site/151990",
"151991","NM84SW 10","Lismore, Balygrundle","Farmstead (Period Unassigned), Sheepfold (Period Unassigned)","184360","740130","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8436 4013","http://canmore.org.uk/site/151991",
"151992","NM84SW 11","Lismore, Balygrundle","Farmstead (Period Unassigned), Sheepfold (Period Unassigned)","183910","740090","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8391 4009","http://canmore.org.uk/site/151992",
"151993","NM83NW 29","Lismore, Mid Achinduin","Township (Period Unassigned)","181370","739350","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8137 3935","http://canmore.org.uk/site/151993",
"151994","NM83NW 30","Lismore, Druim An Uinnsinn","Kiln (Period Unassigned)(Possible), Township (Period Unassigned)(Possible)","182000","739400","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 820 394","http://canmore.org.uk/site/151994",
"151996","NM84SW 12","Lismore, Creag An Fhithich","Enclosure (Period Unassigned), Farmstead (Period Unassigned)","183500","740140","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8350 4014","http://canmore.org.uk/site/151996",
"151997","NM84SW 13","Lismore, Creag An Fhithich","Building (Period Unassigned)","183830","740450","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8383 4045","http://canmore.org.uk/site/151997",
"152003","NM83NW 37","Lismore, Loch Fiart","Farmstead (Period Unassigned)","181400","738000","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 814 380","http://canmore.org.uk/site/152003",
